611857364396965889,@aandraous @britishmuseum @AndrewsAntonio Merci pour le partage! @openwinemap,nocode;
614484565059596288,Dorian Gray with Rainbow Scarf #LoveWins (from @britishmuseum http://t.co/Q4XSwL0esu) http://t.co/h0evbTBWRq,happy;
614746522043973632,@SelectShowcase @Tate_StIves ... Replace with your wish which the artist uses in next installation! It was entralling!,happy;
614877582664835073,@Sofabsports thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression @RAMMuseum,happy
611932373039644672,@britishmuseum @TudorHistory What a beautiful jewel / portrait. Is the 'R' for Rex ?,happy;
611570404268883969,@NationalGallery @ThePoldarkian I have always loved this painting.,happy;
614456889863208960,@britishmuseum say wot, mate?,nocode;
614016385442807809,Two workshops on evaluating audience engagement @NationalGallery + @Cambridge_Uni early July http://t.co/8X3nLQVfQg http://t.co/4pNnjGzmEP,nocode;
610916556751642624,A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas (@FitzMuseum_UK) http://t.co/e2MUQsbRBR,nocode;
614499696015503361,Lucky @FitzMuseum_UK! Good luck @MirandaStearn &amp; see you soon :) @fitalbott @JoReilly00,happy
612869223354925056,1...2... non arrête mon brush!. l.Alma|A favourite custom|1909 @NationalGallery #bonlundi http://t.co/HpjvSJHGhP,nocode;
614497346521399296,The two works in our free #DuccioCaro exhibition play with space, movement, and architect... http://t.co/wdV2lzmgLu via @NationalGallery,nocode;
613601881441570816,Yr 9 art students are off to the @britishmuseum today. Enjoy!,happy;
611443771285188608,@NationalGallery Indeed,nocode;
611561745392513024,“@britishmuseum: More #Waterloo200? Live #Periscope tonight with Dan Snow @thehistoryguy in #BonaparteAndTheBritish http://t.co/yEav7l6Lpq”,nocode;
613696526297210880,@RAMMuseum Please vote for us as @sainsbury #sidwell's local charity PRT http://t.co/IguyWk5MJT http://t.co/5kPGLNeW4H,not-relevant;
610746718641102848,#AskTheGallery Have you got plans to privatise any other roles @NationalGallery ?,not-relevant;
611172872044855296,New digital installation by Girton Artist in Residence @SonnyVadgama will be projected on the façade of the @FitzMuseum_UK tonight from 9pm!,nocode;
612648200588038144,@BarbyWT @britishmuseum so beautiful,happy;
612999088162783232,I'm with (with Sussanna at @nationalgallery) [pic] — https://t.co/RT5OXRAmvR,nocode;
614912375288893440,@britishmuseum awesome museum,happy;
610435728565239809,@nationalgallery #AskTheGallery Why do you pay your brilliant staff so poorly?,angry;
611897570856714240,A sneak peek @BritishMuseum’s #IndigenousAustralia exhibition http://t.co/cZFrjkM2pK,nocode;
614698049328291844,Couldn't agree more ; counting the days till we see @kettlesyard again ! https://t.co/5Re1PZr3HZ,nocode
